asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00003_LEVEL_43.png,00003_LEVEL_43.png,LEVEL 43,LEVEL 43 | LEVEL 43 血量： 2400 攻击力： 130~140 防御力： 65 防御成功率： 52 元素攻击力： 1~1 元素防御力： 48 出现地图： 亚特兰蒂斯 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster34.png,,,,,,,97e570c8da09fdd5f96a9a0b51df7488071fa412ed885783dfb4b37630199f04,,
4,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00004_LEVEL_45.png,00004_LEVEL_45.png,LEVEL 45,LEVEL 45 | LEVEL 45 血量： 2800 攻击力： 135~145 防御力： 70 防御成功率： 58 元素攻击力： 2~2 元素防御力： 52 出现地图： 亚特兰蒂斯 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster35.png,,,,,,,15604861529db5003f0952e6d160b87cfa82c97d0214aece255b238e45f4cc28,,
5,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00005_LEVEL_46.png,00005_LEVEL_46.png,LEVEL 46,LEVEL 46 | LEVEL 46 血量： 3200 攻击力： 140~150 防御力： 75 防御成功率： 64 元素攻击力： 6~6 元素防御力： 56 出现地图： 亚特兰蒂斯 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_36.png,,,,,,,a8b5a86f867d1a2537fd59c8ce284604ed5c7e5143ab84179ae8943a880d5edc,,
6,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00006_LEVEL_68.png,00006_LEVEL_68.png,LEVEL 68,LEVEL 68 | LEVEL 68 血量： 8000 攻击力： 230~260 防御力： 170 防御成功率： 110 元素攻击力： 7~7 元素防御力： 127 出现地图： 亚特兰蒂斯 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_32.png,,,,,,,37fd801ee462efd6cc0b1c2e4c432148c3f7c37b4280a04cc1db785f7ca77d57,,
7,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00007_LEVEL_70.png,00007_LEVEL_70.png,LEVEL 70,LEVEL 70 | LEVEL 70 血量： 9000 攻击力： 240~270 防御力： 180 防御成功率： 115 元素攻击力： 7~7 元素防御力： 135 出现地图： 亚特兰蒂斯 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_37.png,,,,,,,15df9e6486abf41d9237de81807a6aaa112c2fb32e733800d8406da60ae48aa9,,
8,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00008_LEVEL_74.png,00008_LEVEL_74.png,LEVEL 74,"LEVEL 74 | LEVEL 74 血量： 19000 攻击力： 250~310 防御力： 200 防御成功率： 125 元素攻击力： 12~12 元素防御力： 150 出现地图： 亚特兰蒂斯 (1 ~ 3),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster38.png,,,,,,,a553eb502f8544597e7742270376c77ffc8818840657b2ecfd0f92bde82e89bd,,
9,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00009_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00009_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
10,https://mu.dvg.cn/monster_list.php?mapid=7,https://mu.dvg.cn/monster_list.php?mapid=7,,images\main\00010_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00010_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
