asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00003_LEVEL_2.png,00003_LEVEL_2.png,LEVEL 2,"LEVEL 2 | LEVEL 2 血量： 30 攻击力： 4~7 防御力： 1 防御成功率： 1 元素攻击力： 0~0 元素防御力： 0 出现地图： 勇者大陆,仙踪林,幻术园",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster10.png,,,,,,,6cf241313f2771d5813709ea6c08795e083f2cf63330d7bcbe5b09be75f32a4d,,
4,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00004_LEVEL_3.png,00004_LEVEL_3.png,LEVEL 3,LEVEL 3 | LEVEL 3 血量： 45 攻击力： 7~10 防御力： 2 防御成功率： 2 元素攻击力： 0~0 元素防御力： 1 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_20.png,,,,,,,0467dd753cb44e0ae221b06470e78a14b0aedfe05b95a2e1c5720e0665eeecf2,,
5,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00005_LEVEL_5.png,00005_LEVEL_5.png,LEVEL 5,LEVEL 5 | LEVEL 5 血量： 80 攻击力： 13~17 防御力： 4 防御成功率： 4 元素攻击力： 0~0 元素防御力： 3 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster21.png,,,,,,,8af21d3efb1d9fe6f1af9f5c8ae90d2b9e1dcc02b8c830d8ea5e7e35ae2f1fd5,,
6,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00006_LEVEL_8.png,00006_LEVEL_8.png,LEVEL 8,LEVEL 8 | LEVEL 8 血量： 120 攻击力： 19~23 防御力： 8 防御成功率： 8 元素攻击力： 0~0 元素防御力： 6 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_18.png,,,,,,,3524a14eaf15cbe7b56b22572cf3dc52e407f6390b0b844f1741f2439da7395d,,
7,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00007_LEVEL_10.png,00007_LEVEL_10.png,LEVEL 10,LEVEL 10 | LEVEL 10 血量： 165 攻击力： 26~31 防御力： 10 防御成功率： 10 元素攻击力： 0~0 元素防御力： 7 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_22.png,,,,,,,876f402ffc4717e23297c644c5bf307d114cedd332fa7fdd51940fb4126896bf,,
8,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00008_LEVEL_13.png,00008_LEVEL_13.png,LEVEL 13,LEVEL 13 | LEVEL 13 血量： 220 攻击力： 36~41 防御力： 13 防御成功率： 13 元素攻击力： 0~0 元素防御力： 9 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_23.png,,,,,,,bdfa5858ccea45187102ab48db7b910103590e7a12b5641577f0317dce109b4a,,
9,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00009_LEVEL_15.png,00009_LEVEL_15.png,LEVEL 15,LEVEL 15 | LEVEL 15 血量： 295 攻击力： 46~51 防御力： 15 防御成功率： 15 元素攻击力： 0~0 元素防御力： 11 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster24.png,,,,,,,3f4091093e8183d5c4503ad40de685586154f5725b3e65312b8fae77cb600140,,
10,https://mu.dvg.cn/monster_list.php?mapid=3,https://mu.dvg.cn/monster_list.php?mapid=3,,images\main\00010_LEVEL_16.png,00010_LEVEL_16.png,LEVEL 16,LEVEL 16 | LEVEL 16 血量： 340 攻击力： 51~57 防御力： 16 防御成功率： 16 元素攻击力： 0~0 元素防御力： 12 出现地图： 仙踪林,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_25.png,,,,,,,531eeb4ca9af103786227688432d24b33b0b0bd0f921ec3813f7e52de7489263,,
