asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00003_LEVEL_102.png,00003_LEVEL_102.png,LEVEL 102,LEVEL 102 | LEVEL 102 血量： 68000 攻击力： 1310~1965 防御力： 615 防御成功率： 800 元素攻击力： 150~30 元素防御力： 461 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster146.png,,,,,,,a1e16858787d8e9555324dac84b27d643cf5d8b8a1f3ae354dd5bbb04902fe6a,,
4,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00004_LEVEL_112.png,00004_LEVEL_112.png,LEVEL 112,LEVEL 112 | LEVEL 112 血量： 77000 攻击力： 1441~2017 防御力： 585 防御成功率： 840 元素攻击力： 150~30 元素防御力： 438 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster147.png,,,,,,,c1e5364d1b1604fc9ab9cc9d1247237ab536267c9753774152c44f6ac1f194a7,,
5,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00005_LEVEL_122.png,00005_LEVEL_122.png,LEVEL 122,LEVEL 122 | LEVEL 122 血量： 84000 攻击力： 1585~2060 防御力： 620 防御成功率： 770 元素攻击力： 150~30 元素防御力： 465 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster148.png,,,,,,,5bd7b2571da9cf05f7e4f9fd6b8dce77e6b99fa6083e4b7c06c932eecb054ce6,,
6,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00006_LEVEL_132.png,00006_LEVEL_132.png,LEVEL 132,"LEVEL 132 | LEVEL 132 血量： 88000 攻击力： 1743~2092 防御力： 650 防御成功率： 840 元素攻击力： 150~30 元素防御力： 487 出现地图： 冰霜之城,孵化魔地 (冰霜蜘蛛活动)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster149.png,,,,,,,c3987405680b2cf15a8d737c987abe91439a358b6acd8c79d90f10302aba9576,,
7,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00007_LEVEL_140.png,00007_LEVEL_140.png,LEVEL 140,LEVEL 140 | LEVEL 140 血量： 237000 攻击力： 1741~2317 防御力： 785 防御成功率： 1440 元素攻击力： 30~150 元素防御力： 588 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster206.png,,,,,,,396df5a203ec3af68595b3d3afd67931d1db891ea207858741b4693370db18c8,,
8,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00008_LEVEL_142.png,00008_LEVEL_142.png,LEVEL 142,LEVEL 142 | LEVEL 142 血量： 95000 攻击力： 1917~2301 防御力： 660 防御成功率： 800 元素攻击力： 150~30 元素防御力： 495 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster150.png,,,,,,,56c483efd5842abe869d07e5b10fecaca4998094bbf4a12cfa52a590a8c4fb58,,
9,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00009_LEVEL_143.png,00009_LEVEL_143.png,LEVEL 143,LEVEL 143 | LEVEL 143 血量： 254000 攻击力： 1885~2360 防御力： 820 防御成功率： 970 元素攻击力： 30~150 元素防御力： 615 出现地图： 冰霜之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster207.png,,,,,,,9879764d933f4888543cb3eef4f7887aa1b74b9e80a0f36259126aeaf9439a05,,
10,https://mu.dvg.cn/monster_list.php?mapid=57,https://mu.dvg.cn/monster_list.php?mapid=57,,images\main\00010_LEVEL_145.png,00010_LEVEL_145.png,LEVEL 145,"LEVEL 145 | LEVEL 145 血量： 4800000 攻击力： 2500~3000 防御力： 1250 防御成功率： 1800 元素攻击力： 254~254 元素防御力： 937 出现地图： 孵化魔地 (冰霜蜘蛛活动),冰霜之城",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster151.png,,,,,,,b6dde99da0b92bae28735d614b3e850f039f62c6461b934f9cc3ce9d0779f96f,,
