asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00003_LEVEL_20.png,00003_LEVEL_20.png,LEVEL 20,LEVEL 20 | LEVEL 20 血量： 600 攻击力： 75~80 防御力： 25 防御成功率： 25 元素攻击力： 0~2 元素防御力： 18 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster18.png,,,,,,,8aaad1236d5602c0aba92d5f45253be5738d92b0a3003f04f6958ad82dbc9062,,
4,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00004_LEVEL_22.png,00004_LEVEL_22.png,LEVEL 22,LEVEL 22 | LEVEL 22 血量： 650 攻击力： 80~85 防御力： 27 防御成功率： 27 元素攻击力： 0~0 元素防御力： 20 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster16.png,,,,,,,caf9e0dae240d73e3c90bf82d6a76719308b4fdb4ecafb92e409661af237c869,,
5,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00005_LEVEL_24.png,00005_LEVEL_24.png,LEVEL 24,LEVEL 24 | LEVEL 24 血量： 700 攻击力： 85~90 防御力： 29 防御成功率： 29 元素攻击力： 0~3 元素防御力： 21 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_17.png,,,,,,,55698f894a5a4934529dacefe4ab015ce25935863691309a7c6f4018e181a0a3,,
6,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00006_LEVEL_26.png,00006_LEVEL_26.png,LEVEL 26,LEVEL 26 | LEVEL 26 血量： 800 攻击力： 95~100 防御力： 33 防御成功率： 33 元素攻击力： 1~4 元素防御力： 24 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster15.png,,,,,,,b19a9dde7759692786ec1c9b83f78c7c2f4fdbbb7eb7f7ac942c41c6a2455975,,
7,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00007_LEVEL_30.png,00007_LEVEL_30.png,LEVEL 30,LEVEL 30 | LEVEL 30 血量： 900 攻击力： 105~110 防御力： 37 防御成功率： 37 元素攻击力： 0~0 元素防御力： 27 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster13.png,,,,,,,862b72e726b69643f978d170a532d4e9bc4969e79762e049bc27dc449910df88,,
8,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00008_LEVEL_36.png,00008_LEVEL_36.png,LEVEL 36,LEVEL 36 | LEVEL 36 血量： 1200 攻击力： 120~125 防御力： 50 防御成功率： 43 元素攻击力： 0~3 元素防御力： 37 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster14.png,,,,,,,f6581955f3be2aa9d7a438272a19644770a8d402d0454500f772cf18b6052009,,
9,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00009_LEVEL_52.png,00009_LEVEL_52.png,LEVEL 52,LEVEL 52 | LEVEL 52 血量： 4000 攻击力： 155~165 防御力： 90 防御成功率： 76 元素攻击力： 4~5 元素防御力： 67 出现地图： 冰风谷,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_19.png,,,,,,,0ce1205be8938fb840e9a4ff254b0edbcd6a99e1bce87c387fdefaf71d87aa85,,
10,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
11,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00011_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00011_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
12,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_list.php?mapid=2,,images\main\00012_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,00012_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,打开微信扫一扫，关注奇迹MU小册子官方小程序。,打开微信扫一扫，关注奇迹MU小册子官方小程序。 | 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。,main,img,https://mu.dvg.cn/skin/images/gh_258.jpg,,,,,,,b4f43d82116ec1b947374d6728b66b04346a51c993cbd9b2e084790420eef744,,
13,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_info.php?id=24,,images\detail\00013_雪虫.png,00013_雪虫.png,雪虫,雪虫 | 雪虫 [Lv.20] 雪虫 【 怪物 】 出现地图：冰风谷 | 怪物名称 怪物说明 雪虫 [Lv.20] 雪虫 【 怪物 】 出现地图：冰风谷 血量 600 魔力值 攻击力 75 ~ 80 防御力 25 防御率 25 魔法防御 0 元素攻击 0 ~ 2 元素防御 18 元素攻击率 0 元素防御率 0,detail,img,https://mu.dvg.cn/source/n_monster/Monster18.png,,,,,,,f93e52cf89a3a260d8dcefc35d989a51a14548f049139fd04cb61dbeb03a3ab0,,
14,https://mu.dvg.cn/monster_list.php?mapid=2,https://mu.dvg.cn/monster_info.php?id=24,https://mu.dvg.cn/item_info.php?id=3554,images\detail\00014_钻云枪之石.png,00014_钻云枪之石.png,钻云枪之石,钻云枪之石,detail,img,https://mu.dvg.cn/source/n_itemlitpic/gem07.png,,,,,,,36af0ca390e3bee691e38e8c49d2e4e74afa09c980f3dcb8b53a56dbb76038d1,,
