asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00003_LEVEL_2.png,00003_LEVEL_2.png,LEVEL 2,"LEVEL 2 | LEVEL 2 血量： 30 攻击力： 4~7 防御力： 1 防御成功率： 1 元素攻击力： 0~0 元素防御力： 0 出现地图： 勇者大陆,仙踪林,幻术园",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster10.png,,,,,,,6cf241313f2771d5813709ea6c08795e083f2cf63330d7bcbe5b09be75f32a4d,,
4,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00004_LEVEL_4.png,00004_LEVEL_4.png,LEVEL 4,LEVEL 4 | LEVEL 4 血量： 60 攻击力： 10~13 防御力： 3 防御成功率： 3 元素攻击力： 0~0 元素防御力： 2 出现地图： 勇者大陆,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster03.png,,,,,,,20be9c047f15f49e51cfc2b8d8847d93eaa9647ef840af9f497b9a8eced711ed,,
5,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00005_LEVEL_9.png,00005_LEVEL_9.png,LEVEL 9,LEVEL 9 | LEVEL 9 血量： 140 攻击力： 22~27 防御力： 9 防御成功率： 9 元素攻击力： 0~0 元素防御力： 6 出现地图： 勇者大陆,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_02.png,,,,,,,70f884c6e699eefa44c7bc903bc3f86eec8f5b9c7a6e13b00cc490d906de0d6d,,
6,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00006_LEVEL_12.png,00006_LEVEL_12.png,LEVEL 12,LEVEL 12 | LEVEL 12 血量： 190 攻击力： 31~36 防御力： 12 防御成功率： 12 元素攻击力： 0~0 元素防御力： 9 出现地图： 勇者大陆,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_01.png,,,,,,,81ac43a5e982a9bd327ec9d37b57ea5300bb6a9bafbf55adf36c60f93ee72374,,
7,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00007_LEVEL_14.png,00007_LEVEL_14.png,LEVEL 14,LEVEL 14 | LEVEL 14 血量： 255 攻击力： 41~46 防御力： 14 防御成功率： 14 元素攻击力： 0~0 元素防御力： 10 出现地图： 勇者大陆,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_05.png,,,,,,,36a8cd928aabac8970659a98a590208650487160fa304014147b6a5098d3f6bd,,
8,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00008_LEVEL_17.png,00008_LEVEL_17.png,LEVEL 17,LEVEL 17 | LEVEL 17 血量： 400 攻击力： 57~62 防御力： 18 防御成功率： 18 元素攻击力： 0~0 元素防御力： 13 出现地图： 勇者大陆,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_06.png,,,,,,,f977b45d910dcba2b212708b695f17d97f6e4da96d4830d0883e014955615a4c,,
9,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00009_LEVEL_19.png,00009_LEVEL_19.png,LEVEL 19,"LEVEL 19 | LEVEL 19 血量： 525 攻击力： 68~74 防御力： 22 防御成功率： 22 元素攻击力： 3~3 元素防御力： 16 出现地图： 勇者大陆,地下城 (1 ~ 3)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_07.png,,,,,,,89c4aa509beca7cf171a8a90c1bb1de418da6590bbc62e1b3aa9fa0353ad813b,,
10,https://mu.dvg.cn/monster_list.php?mapid=0,https://mu.dvg.cn/monster_list.php?mapid=0,,images\main\00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
