asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00003_LEVEL_19.png,00003_LEVEL_19.png,LEVEL 19,"LEVEL 19 | LEVEL 19 血量： 525 攻击力： 68~74 防御力： 22 防御成功率： 22 元素攻击力： 3~3 元素防御力： 16 出现地图： 勇者大陆,地下城 (1 ~ 3)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_07.png,,,,,,,89c4aa509beca7cf171a8a90c1bb1de418da6590bbc62e1b3aa9fa0353ad813b,,
4,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00004_LEVEL_25.png,00004_LEVEL_25.png,LEVEL 25,LEVEL 25 | LEVEL 25 血量： 750 攻击力： 90~95 防御力： 31 防御成功率： 31 元素攻击力： 2~2 元素防御力： 23 出现地图： 地下城 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster07.png,,,,,,,4c020a0e63e0a11ccc49b7d982d25d8f48b3cf95280ffef0ec2c2fd325f4b62e,,
5,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00005_LEVEL_28.png,00005_LEVEL_28.png,LEVEL 28,"LEVEL 28 | LEVEL 28 血量： 850 攻击力： 100~105 防御力： 35 防御成功率： 35 元素攻击力： 2~2 元素防御力： 26 出现地图： 地下城 (1 ~ 3),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_11.png,,,,,,,25820020cee99b5ff9a41b7ad1eb22dcf8722399f28f430265cab8e9aac20cea,,
6,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00006_LEVEL_32.png,00006_LEVEL_32.png,LEVEL 32,LEVEL 32 | LEVEL 32 血量： 1000 攻击力： 110~115 防御力： 40 防御成功率： 39 元素攻击力： 2~2 元素防御力： 30 出现地图： 地下城 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster08.png,,,,,,,5b2857497be22133991814a7200cea52c9e36812715ad4f27e9b9ee9582abc56,,
7,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00007_LEVEL_34.png,00007_LEVEL_34.png,LEVEL 34,"LEVEL 34 | LEVEL 34 血量： 1100 攻击力： 115~120 防御力： 45 防御成功率： 41 元素攻击力： 1~1 元素防御力： 33 出现地图： 地下城 (1 ~ 3),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_08.png,,,,,,,b8bc27ff6f6a4c23d7a6a3f3d82e2612ebe2c4276aef62718464ac47952d956f,,
8,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00008_LEVEL_38.png,00008_LEVEL_38.png,LEVEL 38,"LEVEL 38 | LEVEL 38 血量： 1400 攻击力： 125~130 防御力： 55 防御成功率： 45 元素攻击力： 1~1 元素防御力： 41 出现地图： 地下城 (1 ~ 3),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_02.png,,,,,,,70f884c6e699eefa44c7bc903bc3f86eec8f5b9c7a6e13b00cc490d906de0d6d,,
9,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00009_LEVEL_40.png,00009_LEVEL_40.png,LEVEL 40,"LEVEL 40 | LEVEL 40 血量： 1600 攻击力： 130~135 防御力： 60 防御成功率： 47 元素攻击力： 0~0 元素防御力： 45 出现地图： 地下城 (1 ~ 3),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_09.png,,,,,,,fcff48581598b1c035368bd1f43c62658de2caf8c4f021a3f1102da984444198,,
10,https://mu.dvg.cn/monster_list.php?mapid=1,https://mu.dvg.cn/monster_list.php?mapid=1,,images\main\00010_LEVEL_42.png,00010_LEVEL_42.png,LEVEL 42,LEVEL 42 | LEVEL 42 血量： 1800 攻击力： 135~140 防御力： 65 防御成功率： 49 元素攻击力： 1~1 元素防御力： 48 出现地图： 地下城 (1 ~ 3),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_10.png,,,,,,,e5ed1c1c9d502d0163e294a545b67b00971132db624aa55b5088c3aafd198a05,,
