asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00003_LEVEL_80.png,00003_LEVEL_80.png,LEVEL 80,LEVEL 80 | LEVEL 80 血量： 16000 攻击力： 310~340 防御力： 230 防御成功率： 163 元素攻击力： 20~20 元素防御力： 172 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster108.png,,,,,,,689549d68009ceeabaeb1d8509fe81218a53dc6e93c97d36200a871f7ee65878,,
4,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00004_LEVEL_82.png,00004_LEVEL_82.png,LEVEL 82,LEVEL 82 | LEVEL 82 血量： 18000 攻击力： 335~365 防御力： 250 防御成功率： 168 元素攻击力： 21~21 元素防御力： 187 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster109.png,,,,,,,c41c3be1efa29c803719ef6db0cdb3c085f3205d43d829c1542052bb13151e40,,
5,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00005_LEVEL_85.png,00005_LEVEL_85.png,LEVEL 85,LEVEL 85 | LEVEL 85 血量： 22000 攻击力： 365~395 防御力： 280 防御成功率： 177 元素攻击力： 22~22 元素防御力： 210 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster110.png,,,,,,,30910eaf47c1398fe81176e9f482ad2994c6ff4178b9fdceacdb8b4798ccc5c6,,
6,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00006_LEVEL_88.png,00006_LEVEL_88.png,LEVEL 88,"LEVEL 88 | LEVEL 88 血量： 32000 攻击力： 408~443 防御力： 315 防御成功率： 195 元素攻击力： 23~23 元素防御力： 236 出现地图： 坎特鲁废墟,坎特鲁活动",main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster111.png,,,,,,,001672383e047fbaf38ca6e004486a05a8005a3ff7b2b27162774d6fcf2a1a7f,,
7,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00007_LEVEL_93.png,00007_LEVEL_93.png,LEVEL 93,LEVEL 93 | LEVEL 93 血量： 38500 攻击力： 470~505 防御力： 370 防御成功率： 220 元素攻击力： 24~24 元素防御力： 277 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster112.png,,,,,,,074f65d428efc1afbb65c67ddfada16c996db8dbed2ad06a26235bb808843ce3,,
8,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00008_LEVEL_98.png,00008_LEVEL_98.png,LEVEL 98,LEVEL 98 | LEVEL 98 血量： 43000 攻击力： 546~581 防御力： 430 防御成功率： 250 元素攻击力： 25~25 元素防御力： 322 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster113.png,,,,,,,44ee30b8c00747f355e4d129218f21e94a62d05305d778ca1a35e13033e7409c,,
9,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00009_LEVEL_100.png,00009_LEVEL_100.png,LEVEL 100,LEVEL 100 | LEVEL 100 血量： 44370 攻击力： 555~590 防御力： 443 防御成功率： 255 元素攻击力： 25~25 元素防御力： 332 出现地图： 坎特鲁废墟,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster107.png,,,,,,,3f94289090085d03afc9bc6d1e34d96cd96ea4f5ef730fc41c5ff103ab0d5852,,
10,https://mu.dvg.cn/monster_list.php?mapid=37,https://mu.dvg.cn/monster_list.php?mapid=37,,images\main\00010_LEVEL_105.png,00010_LEVEL_105.png,LEVEL 105,"LEVEL 105 | LEVEL 105 血量： 48500 攻击力： 640~675 防御力： 515 防御成功率： 290 元素攻击力： 26~26 元素防御力： 386 出现地图： 坎特鲁废墟,坎特鲁活动",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster114.png,,,,,,,8ee5d75cd3f9cf9948c00672aa2b2ad7801bd5183dd3a581938d9dd0481c8604,,
