asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00003_LEVEL_117.png,00003_LEVEL_117.png,LEVEL 117,"LEVEL 117 | LEVEL 117 血量： 87500 攻击力： 830~1085 防御力： 865 防御成功率： 440 元素攻击力： 28~28 元素防御力： 648 出现地图： 坎特鲁遗址,坎特鲁活动",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster116.png,,,,,,,9ec1e6b781910b6829e881948240636ab95a924587700863b8d349979c9ba672,,
4,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00004_LEVEL_118.png,00004_LEVEL_118.png,LEVEL 118,"LEVEL 118 | LEVEL 118 血量： 68000 攻击力： 1168~1213 防御力： 615 防御成功率： 485 元素攻击力： 29~29 元素防御力： 461 出现地图： 坎特鲁遗址,坎特鲁活动",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster115.png,,,,,,,0413bfec4e03d43d1fe754c83d4299667f43cec702c3d0a96f4449cb0035788b,,
5,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00005_LEVEL_119.png,00005_LEVEL_119.png,LEVEL 119,"LEVEL 119 | LEVEL 119 血量： 94000 攻击力： 946~996 防御力： 783 防御成功率： 905 元素攻击力： 27~27 元素防御力： 587 出现地图： 坎特鲁遗址,坎特鲁活动",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster117.png,,,,,,,e6105b9ea719b9451bf183e1eeb1ecf1d22f41e2907acea75723fa94a44d64e6,,
6,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00006_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00006_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
7,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00007_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00007_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
8,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_list.php?mapid=38,,images\main\00008_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,00008_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,打开微信扫一扫，关注奇迹MU小册子官方小程序。,打开微信扫一扫，关注奇迹MU小册子官方小程序。 | 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。,main,img,https://mu.dvg.cn/skin/images/gh_258.jpg,,,,,,,b4f43d82116ec1b947374d6728b66b04346a51c993cbd9b2e084790420eef744,,
9,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_info.php?id=359,,images\detail\00009_毒步妖.png,00009_毒步妖.png,毒步妖,"毒步妖 | 毒步妖 [Lv.117] 毒步妖 【 怪物 】 出现地图：坎特鲁遗址,坎特鲁活动 | 怪物名称 怪物说明 毒步妖 [Lv.117] 毒步妖 【 怪物 】 出现地图：坎特鲁遗址,坎特鲁活动 血量 87500 魔力值 攻击力 830 ~ 1085 防御力 865 防御率 440 魔法防御 0 元素攻击 28 ~ 28 元素防御 648 元素攻击率 0 元素防御率 0",detail,img,https://mu.dvg.cn/source/n_monster/Monster116.png,,,,,,,dbf1a7ae23fafd052fe343ea7e0ac0d355ad1ef87cbb37ec145010a8c5adf83e,,
10,https://mu.dvg.cn/monster_list.php?mapid=38,https://mu.dvg.cn/monster_info.php?id=359,https://mu.dvg.cn/item_info.php?id=5736,images\detail\00010_卓越的_烈火护手.png,00010_卓越的_烈火护手.png,卓越的 烈火护手,卓越的 烈火护手,detail,img,https://mu.dvg.cn/source/n_itemlitpic/cw_glovemale04.png,,,,,,,37196e9c4e593d8b91816185afc87086f61c9a24b5c011b48fbeca889de1dec0,,
