asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00003_LEVEL_75.png,00003_LEVEL_75.png,LEVEL 75,LEVEL 75 | LEVEL 75 血量： 11500 攻击力： 255~290 防御力： 195 防御成功率： 125 元素攻击力： 9~9 元素防御力： 146 出现地图： 天空之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_51.png,,,,,,,b031fa75345aa7febfff1d910c4d786518aacf2be72088204e29f9b83c6e1714,,
4,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00004_LEVEL_78.png,00004_LEVEL_78.png,LEVEL 78,"LEVEL 78 | LEVEL 78 血量： 15000 攻击力： 270~320 防御力： 210 防御成功率： 140 元素攻击力： 9~9 元素防御力： 157 出现地图： 天空之城,恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_53.png,,,,,,,d392b56b5cbabc5b7817b28b8fbd685d853a2d96acac2e55d03d23858930e875,,
5,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00005_LEVEL_82.png,00005_LEVEL_82.png,LEVEL 82,"LEVEL 82 | LEVEL 82 血量： 19000 攻击力： 305~350 防御力： 230 防御成功率： 160 元素攻击力： 9~11 元素防御力： 172 出现地图： 天空之城,恶魔广场 (1 ~ 4),恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_52.png,,,,,,,e824fc1fd52d59ccedb1ae5d855bbc51a2024bf77d87debb6509c805a1688d8c,,
6,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00006_LEVEL_86.png,00006_LEVEL_86.png,LEVEL 86,"LEVEL 86 | LEVEL 86 血量： 29000 攻击力： 425~480 防御力： 305 防御成功率： 210 元素攻击力： 12~12 元素防御力： 228 出现地图： 天空之城,恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster55.png,,,,,,,a243c3c24d7bf966fa9d2d785a9402210e0cd6ea2d2367e37462e0cf1f41c6da,,
7,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00007_LEVEL_92.png,00007_LEVEL_92.png,LEVEL 92,"LEVEL 92 | LEVEL 92 血量： 34500 攻击力： 489~540 防御力： 360 防御成功率： 240 元素攻击力： 13~13 元素防御力： 270 出现地图： 天空之城,恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_48.png,,,,,,,99f61a2608621b271103eb539f6d4c82ff1f60ac702b6451ee3dfd430ca3598e,,
8,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00008_LEVEL_96.png,00008_LEVEL_96.png,LEVEL 96,LEVEL 96 | LEVEL 96 血量： 41000 攻击力： 560~610 防御力： 425 防御成功率： 270 元素攻击力： 14~14 元素防御力： 318 出现地图： 天空之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_54.png,,,,,,,0f389a6258aebbbd0c5beab33098fbf06607c6508de0cf32996ab5906aad111a,,
9,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00009_LEVEL_100.png,00009_LEVEL_100.png,LEVEL 100,LEVEL 100 | LEVEL 100 血量： 50000 攻击力： 650~700 防御力： 495 防御成功率： 305 元素攻击力： 15~15 元素防御力： 371 出现地图： 天空之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_50.png,,,,,,,2eac73cd7f5e90611d054f914ee3e70ef64e221450b34a3bb986948a3355b375,,
10,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00010_LEVEL_108.png,00010_LEVEL_108.png,LEVEL 108,LEVEL 108 | LEVEL 108 血量： 95000 攻击力： 950~1000 防御力： 600 防御成功率： 350 元素攻击力： 30~30 元素防御力： 450 出现地图： 天空之城,main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_56.png,,,,,,,db8dc5cad9760e2442dcf65f037e4feca9d44e98b669894877ace23e43908327,,
11,https://mu.dvg.cn/monster_list.php?mapid=10,https://mu.dvg.cn/monster_list.php?mapid=10,,images\main\00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
