asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00003_LEVEL_47.png,00003_LEVEL_47.png,LEVEL 47,"LEVEL 47 | LEVEL 47 血量： 2800 攻击力： 148~153 防御力： 78 防御成功率： 67 元素攻击力： 3~3 元素防御力： 58 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_29.png,,,,,,,5b5b3745e1891b49e85aaf225e642ab177aad0afc372a7a48157d487369f3f8e,,
4,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00004_LEVEL_50.png,00004_LEVEL_50.png,LEVEL 50,"LEVEL 50 | LEVEL 50 血量： 3500 攻击力： 155~160 防御力： 85 防御成功率： 73 元素攻击力： 6~4 元素防御力： 63 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_26.png,,,,,,,74c9701ea3c9cc3074ee5dbe82851d1584f0ebedf27b155f6c86418507502f69,,
5,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00005_LEVEL_54.png,00005_LEVEL_54.png,LEVEL 54,"LEVEL 54 | LEVEL 54 血量： 4000 攻击力： 160~170 防御力： 95 防御成功率： 80 元素攻击力： 5~5 元素防御力： 71 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_21.png,,,,,,,d601cfee859fe0cef8fc7d3ae06b2c111c7d606f009837addc5ef8e731cfdfde,,
6,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00006_LEVEL_57.png,00006_LEVEL_57.png,LEVEL 57,"LEVEL 57 | LEVEL 57 血量： 4500 攻击力： 170~180 防御力： 110 防御成功率： 85 元素攻击力： 5~5 元素防御力： 82 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_31.png,,,,,,,261773929f0b3031097bc8639bae1b49dbd10a5bd1d218655a843a59eb74d486,,
7,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00007_LEVEL_60.png,00007_LEVEL_60.png,LEVEL 60,"LEVEL 60 | LEVEL 60 血量： 5000 攻击力： 180~195 防御力： 115 防御成功率： 88 元素攻击力： 5~5 元素防御力： 86 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster27.png,,,,,,,2ae9dd46b22d332d57a899d43749adfb7cb883ee864d362360b7aae5cd0e15b9,,
8,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00008_LEVEL_62.png,00008_LEVEL_62.png,LEVEL 62,"LEVEL 62 | LEVEL 62 血量： 5500 攻击力： 190~200 防御力： 120 防御成功率： 91 元素攻击力： 6~6 元素防御力： 90 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_30.png,,,,,,,0be9677cb9d876c4163c8384af0fffacf574467d32ba490b8a227a376b226225,,
9,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00009_LEVEL_64.png,00009_LEVEL_64.png,LEVEL 64,"LEVEL 64 | LEVEL 64 血量： 6000 攻击力： 200~210 防御力： 130 防御成功率： 94 元素攻击力： 6~6 元素防御力： 97 出现地图： 失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_24.png,,,,,,,51fc6ab7393d6e158d36c2f002bb3395e815fecca169a5b6446f3e109448ab1f,,
10,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00010_LEVEL_66.png,00010_LEVEL_66.png,LEVEL 66,LEVEL 66 | LEVEL 66 血量： 9000 攻击力： 220~240 防御力： 160 防御成功率： 99 元素攻击力： 10~10 元素防御力： 120 出现地图： 失落之塔 (1 ~ 7),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_28.png,,,,,,,26f6311156aa019e193b8ab29d1b916cf313e0208f5a1bc896920425ec7bd9d3,,
11,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
12,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00012_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00012_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
13,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_list.php?mapid=4,,images\main\00013_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,00013_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,打开微信扫一扫，关注奇迹MU小册子官方小程序。,打开微信扫一扫，关注奇迹MU小册子官方小程序。 | 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。,main,img,https://mu.dvg.cn/skin/images/gh_258.jpg,,,,,,,b4f43d82116ec1b947374d6728b66b04346a51c993cbd9b2e084790420eef744,,
14,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_info.php?id=36,,images\detail\00014_鬼魂.png,00014_鬼魂.png,鬼魂,"鬼魂 | 鬼魂 [Lv.47] 鬼魂 【 怪物 】 出现地图：失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4) | 怪物名称 怪物说明 鬼魂 [Lv.47] 鬼魂 【 怪物 】 出现地图：失落之塔 (1 ~ 7),恶魔广场 (1 ~ 4) 血量 2800 魔力值 攻击力 148 ~ 153 防御力 78 防御率 67 魔法防御 0 元素攻击 3 ~ 3 元素防御 58 元素攻击率 0 元素防御率 0",detail,img,https://mu.dvg.cn/source/n_monster/n_monster_29.png,,,,,,,1a58d29b66da1edbcf5566a7cd6b4032cb5264bf21101e3a1717e44072b7cc37,,
15,https://mu.dvg.cn/monster_list.php?mapid=4,https://mu.dvg.cn/monster_info.php?id=36,https://mu.dvg.cn/item_info.php?id=5299,images\detail\00015_卓越的_青铜盔.png,00015_卓越的_青铜盔.png,卓越的 青铜盔,卓越的 青铜盔,detail,img,https://mu.dvg.cn/source/n_itemlitpic/helmmale01.png,,,,,,,e47c34f74f816d51fc0951d27345406545feb293c9f7b142cde65b346a922bb7,,
