asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00003_LEVEL_95.png,00003_LEVEL_95.png,LEVEL 95,LEVEL 95 | LEVEL 95 血量： 37000 攻击力： 475~510 防御力： 370 防御成功率： 220 元素攻击力： 0~0 元素防御力： 277 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster137.png,,,,,,,7c5ea8cd50475e6a8d0c02f20c29a4892ba407d6933092d962cdecd3fa167de8,,
4,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00004_LEVEL_96.png,00004_LEVEL_96.png,LEVEL 96,LEVEL 96 | LEVEL 96 血量： 39500 攻击力： 485~505 防御力： 375 防御成功率： 225 元素攻击力： 0~0 元素防御力： 281 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster138.png,,,,,,,5cfa0e57e4ba404ae2a56d4dc9be32fba1f9943c6c057948c42a344945a76fef,,
5,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00005_LEVEL_97.png,00005_LEVEL_97.png,LEVEL 97,LEVEL 97 | LEVEL 97 血量： 42000 攻击力： 520~555 防御力： 395 防御成功率： 235 元素攻击力： 0~0 元素防御力： 296 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster143.png,,,,,,,4b97061d815ed062e90d31db6f7c74eaaa6e876abc3664680a0332c338bb893f,,
6,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00006_LEVEL_98.png,00006_LEVEL_98.png,LEVEL 98,LEVEL 98 | LEVEL 98 血量： 48500 攻击力： 540~575 防御力： 430 防御成功率： 240 元素攻击力： 0~0 元素防御力： 322 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster140.png,,,,,,,8823595941e2b249e238266b3963ecef3e89521ce34c59c51e2acef37712b398,,
7,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00007_LEVEL_100.png,00007_LEVEL_100.png,LEVEL 100,LEVEL 100 | LEVEL 100 血量： 52000 攻击力： 570~600 防御力： 455 防御成功率： 255 元素攻击力： 0~0 元素防御力： 341 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster141.png,,,,,,,fffdada2d17c3b1df8a5a13c62406cbdce7db5efedc8ab299df668236fd65f51,,
8,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00008_LEVEL_102.png,00008_LEVEL_102.png,LEVEL 102,LEVEL 102 | LEVEL 102 血量： 58000 攻击力： 590~625 防御力： 470 防御成功率： 275 元素攻击力： 0~0 元素防御力： 352 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster139.png,,,,,,,dd021d9a3daf49c2e2a6f3499231159a9842ad380f06c190884c9659a579cb4c,,
9,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00009_LEVEL_104.png,00009_LEVEL_104.png,LEVEL 104,LEVEL 104 | LEVEL 104 血量： 62000 攻击力： 600~645 防御力： 500 防御成功率： 290 元素攻击力： 0~0 元素防御力： 375 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster142.png,,,,,,,25ddb523645c28931cf8e0391b36791ee23281e8c8a6f7995c168da417acdc26,,
10,https://mu.dvg.cn/monster_list.php?mapid=56,https://mu.dvg.cn/monster_list.php?mapid=56,,images\main\00010_LEVEL_106.png,00010_LEVEL_106.png,LEVEL 106,LEVEL 106 | LEVEL 106 血量： 68000 攻击力： 635~665 防御力： 535 防御成功率： 295 元素攻击力： 0~0 元素防御力： 401 出现地图： 安宁池,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster144.png,,,,,,,0558f3f0482afe128b54a3826648c07e5e075b21cc87b767e3d927248422bf65,,
