asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00003_LEVEL_2.png,00003_LEVEL_2.png,LEVEL 2,"LEVEL 2 | LEVEL 2 血量： 30 攻击力： 4~7 防御力： 1 防御成功率： 1 元素攻击力： 0~0 元素防御力： 0 出现地图： 勇者大陆,仙踪林,幻术园",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster10.png,,,,,,,6cf241313f2771d5813709ea6c08795e083f2cf63330d7bcbe5b09be75f32a4d,,
4,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00004_LEVEL_4.png,00004_LEVEL_4.png,LEVEL 4,LEVEL 4 | LEVEL 4 血量： 60 攻击力： 10~13 防御力： 3 防御成功率： 3 元素攻击力： 0~0 元素防御力： 2 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster129.png,,,,,,,fc0fae0b11e90e7eae0768d95c6eac074897f385e0680831de72e7988fde7c3a,,
5,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00005_LEVEL_13.png,00005_LEVEL_13.png,LEVEL 13,LEVEL 13 | LEVEL 13 血量： 230 攻击力： 37~42 防御力： 13 防御成功率： 13 元素攻击力： 0~0 元素防御力： 9 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster132.png,,,,,,,449efb1f53455894f87913deed4cfb5c48d91857a8647ef184a4ccffb70b7ebb,,
6,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00006_LEVEL_19.png,00006_LEVEL_19.png,LEVEL 19,LEVEL 19 | LEVEL 19 血量： 520 攻击力： 68~72 防御力： 22 防御成功率： 22 元素攻击力： 0~0 元素防御力： 16 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster130.png,,,,,,,499a74c2951f1ba0f108def0a5da6364a605cb82f7785800a447f28fb1fffeb7,,
7,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00007_LEVEL_24.png,00007_LEVEL_24.png,LEVEL 24,LEVEL 24 | LEVEL 24 血量： 720 攻击力： 85~90 防御力： 30 防御成功率： 30 元素攻击力： 0~0 元素防御力： 22 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster131.png,,,,,,,e0ddc2cb3303c58216cdd7e4f584a59cddafcaba0ae81104e23c3fe0c9b6e969,,
8,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00008_LEVEL_30.png,00008_LEVEL_30.png,LEVEL 30,LEVEL 30 | LEVEL 30 血量： 900 攻击力： 105~110 防御力： 33 防御成功率： 36 元素攻击力： 0~2 元素防御力： 24 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster133.png,,,,,,,75e0acf20a5039ebd2df5be21197dc494136dbfe7632bf534a62cad7a6b280d1,,
9,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00009_LEVEL_36.png,00009_LEVEL_36.png,LEVEL 36,LEVEL 36 | LEVEL 36 血量： 1200 攻击力： 120~125 防御力： 50 防御成功率： 43 元素攻击力： 0~0 元素防御力： 37 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster134.png,,,,,,,81cc6fe39f929732b051b2f13c856e20f1539f671b8154b13955c27868b0e109,,
10,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00010_LEVEL_43.png,00010_LEVEL_43.png,LEVEL 43,LEVEL 43 | LEVEL 43 血量： 2400 攻击力： 130~140 防御力： 65 防御成功率： 52 元素攻击力： 0~3 元素防御力： 48 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster135.png,,,,,,,b821a522cfa9960708aeaea57b463329cfa118367aaa6ec347249bcb96affb67,,
11,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00011_LEVEL_48.png,00011_LEVEL_48.png,LEVEL 48,LEVEL 48 | LEVEL 48 血量： 3000 攻击力： 150~155 防御力： 80 防御成功率： 70 元素攻击力： 3~3 元素防御力： 60 出现地图： 幻术园,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster136.png,,,,,,,6f66faaf45102fc8b81c608fe01932f7c0c143b4ce02aebeb745ff8ec5dd2eba,,
12,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00012_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00012_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
13,https://mu.dvg.cn/monster_list.php?mapid=51,https://mu.dvg.cn/monster_list.php?mapid=51,,images\main\00013_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00013_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
