asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00003_LEVEL_72.png,00003_LEVEL_72.png,LEVEL 72,LEVEL 72 | LEVEL 72 血量： 10000 攻击力： 248~272 防御力： 187 防御成功率： 120 元素攻击力： 18~18 元素防御力： 140 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster105.png,,,,,,,ea5ac640d93c8cd0038867b7ee7111c565bb54e6d190c885eb3c7b8e9aef84c2,,
4,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00004_LEVEL_74.png,00004_LEVEL_74.png,LEVEL 74,LEVEL 74 | LEVEL 74 血量： 11000 攻击力： 258~282 防御力： 197 防御成功率： 127 元素攻击力： 19~19 元素防御力： 147 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster104.png,,,,,,,16a999908250eb98950288433f975b0254f48f64036bccdac00f0732c4f13373,,
5,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00005_LEVEL_78.png,00005_LEVEL_78.png,LEVEL 78,LEVEL 78 | LEVEL 78 血量： 14000 攻击力： 260~294 防御力： 222 防御成功率： 144 元素攻击力： 20~20 元素防御力： 166 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster103.png,,,,,,,336c2d8efc52af2e2276a6800c5fd4e39c25839591b884d53f2d0ac3a8769727,,
6,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00006_LEVEL_84.png,00006_LEVEL_84.png,LEVEL 84,LEVEL 84 | LEVEL 84 血量： 25000 攻击力： 288~322 防御力： 277 防御成功率： 170 元素攻击力： 21~21 元素防御力： 207 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster102.png,,,,,,,1806b4e61c2e0a4e95d5dfea72ff318eb9e322664b125af3e0dff68935966303,,
7,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00007_LEVEL_94.png,00007_LEVEL_94.png,LEVEL 94,LEVEL 94 | LEVEL 94 血量： 38500 攻击力： 408~442 防御力： 357 防御成功率： 230 元素攻击力： 22~22 元素防御力： 267 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster101.png,,,,,,,09cba1cf76ccbf80eb1b2bd7f6a8de73fdaaf8542be370b7578342394fceae5a,,
8,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00008_LEVEL_98.png,00008_LEVEL_98.png,LEVEL 98,LEVEL 98 | LEVEL 98 血量： 50000 攻击力： 550~600 防御力： 520 防御成功率： 300 元素攻击力： 50~50 元素防御力： 390 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster106.png,,,,,,,f86cb7879395dacbbe66d7b994fc7a896484d746faf5e56893cc6674b1381fea,,
9,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00009_LEVEL_114.png,00009_LEVEL_114.png,LEVEL 114,LEVEL 114 | LEVEL 114 血量： 117000 攻击力： 675~710 防御力： 420 防御成功率： 820 元素攻击力： 20~20 元素防御力： 315 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster194.png,,,,,,,832e4882d23420d33042ac28989acfb056a4e08aa62869be8adce18f3df2e96f,,
10,https://mu.dvg.cn/monster_list.php?mapid=33,https://mu.dvg.cn/monster_list.php?mapid=33,,images\main\00010_LEVEL_115.png,00010_LEVEL_115.png,LEVEL 115,LEVEL 115 | LEVEL 115 血量： 88000 攻击力： 795~830 防御力： 460 防御成功率： 430 元素攻击力： 20~20 元素防御力： 345 出现地图： 幽暗森林 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster195.png,,,,,,,6763a71c4faa2edd3fb6945724dcc0bd1075dcdc96074b64e6b8aa1f66f76fab,,
