asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00003_LEVEL_72.png,00003_LEVEL_72.png,LEVEL 72,LEVEL 72 | LEVEL 72 血量： 10000 攻击力： 250~280 防御力： 190 防御成功率： 120 元素攻击力： 8~8 元素防御力： 142 出现地图： 死亡沙漠 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster46.png,,,,,,,43577becf844379d04ef3bb05e5b611573c66ada9d648a7f2f14f8508c141f57,,
4,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00004_LEVEL_76.png,00004_LEVEL_76.png,LEVEL 76,"LEVEL 76 | LEVEL 76 血量： 13500 攻击力： 260~300 防御力： 200 防御成功率： 130 元素攻击力： 8~8 元素防御力： 150 出现地图： 死亡沙漠 (1 ~ 2),恶魔广场 (1 ~ 4),恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster44.png,,,,,,,d16b684e94d0ebd0876e7cc556ac06af0459e4642813d411396b6d6f3bbf9ef1,,
5,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00005_LEVEL_80.png,00005_LEVEL_80.png,LEVEL 80,"LEVEL 80 | LEVEL 80 血量： 17000 攻击力： 280~330 防御力： 215 防御成功率： 150 元素攻击力： 9~9 元素防御力： 161 出现地图： 死亡沙漠 (1 ~ 2),恶魔广场 (1 ~ 4),恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_42.png,,,,,,,f113a49fe813a8f3747e7f4803d3b7d4d670af54054e908babdaf46d936c7555,,
6,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00006_LEVEL_83.png,00006_LEVEL_83.png,LEVEL 83,LEVEL 83 | LEVEL 83 血量： 22000 攻击力： 335~385 防御力： 250 防御成功率： 175 元素攻击力： 9~9 元素防御力： 187 出现地图： 死亡沙漠 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_43.png,,,,,,,0439bf01c39d9d886a216d29cfc81ff3732d325b382fce2c8640936c6fc5a49a,,
7,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00007_LEVEL_84.png,00007_LEVEL_84.png,LEVEL 84,"LEVEL 84 | LEVEL 84 血量： 25000 攻击力： 375~425 防御力： 275 防御成功率： 190 元素攻击力： 10~10 元素防御力： 206 出现地图： 死亡沙漠 (1 ~ 2),恶魔广场 (1 ~ 4)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster45.png,,,,,,,038d723f3936e9a302e6875d508aa729749fbd527ab7c5c5888e7d5fc0d95247,,
8,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00008_LEVEL_90.png,00008_LEVEL_90.png,LEVEL 90,LEVEL 90 | LEVEL 90 血量： 34000 攻击力： 510~590 防御力： 400 防御成功率： 185 元素攻击力： 13~13 元素防御力： 300 出现地图： 死亡沙漠 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_33.png,,,,,,,0133081e0d11c4d43257c4d9579a9450de044a8e1546881750cc03b6072ca243,,
9,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00009_LEVEL_93.png,00009_LEVEL_93.png,LEVEL 93,LEVEL 93 | LEVEL 93 血量： 40000 攻击力： 590~650 防御力： 420 防御成功率： 220 元素攻击力： 13~13 元素防御力： 315 出现地图： 死亡沙漠 (1 ~ 2),main,img,https://mu.dvg.cn/source/n_monsterlitpic/n_monster_34.png,,,,,,,12cf6dba68668f7c9ecce0b02e71d23e3404fb6a06171ac41c77adbf299933df,,
10,https://mu.dvg.cn/monster_list.php?mapid=8,https://mu.dvg.cn/monster_list.php?mapid=8,,images\main\00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00010_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
