asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00003_LEVEL_97.png,00003_LEVEL_97.png,LEVEL 97,LEVEL 97 | LEVEL 97 血量： 45000 攻击力： 530~560 防御力： 420 防御成功率： 250 元素攻击力： 17~17 元素防御力： 315 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/monster94.png,,,,,,,72834681646e8a857c9937332ec82ce1de9078908b3716b93a8da1bb0e36ff9d,,
4,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00004_LEVEL_97.png,00004_LEVEL_97.png,LEVEL 97,LEVEL 97 | LEVEL 97 血量： 45000 攻击力： 530~560 防御力： 420 防御成功率： 250 元素攻击力： 19~19 元素防御力： 315 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster98.png,,,,,,,3809128de5bfa829091534316f6497a4c3e5434e7b428908017fefb1a6e0eab4,,
5,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00005_LEVEL_97.png,00005_LEVEL_97.png,LEVEL 97,LEVEL 97 | LEVEL 97 血量： 45000 攻击力： 530~560 防御力： 420 防御成功率： 250 元素攻击力： 15~15 元素防御力： 315 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster97.png,,,,,,,b72411044235fde796bac08ecda739837dcc794a32e9339c5fcf1c71b4d1a29d,,
6,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00006_LEVEL_118.png,00006_LEVEL_118.png,LEVEL 118,LEVEL 118 | LEVEL 118 血量： 110000 攻击力： 830~850 防御力： 680 防御成功率： 355 元素攻击力： 21~21 元素防御力： 510 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster96.png,,,,,,,a61f86d30cad7b741ffc79f34215768abdcd73cf057f13c4b0fd718374ba4e12,,
7,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00007_LEVEL_123.png,00007_LEVEL_123.png,LEVEL 123,LEVEL 123 | LEVEL 123 血量： 120000 攻击力： 890~910 防御力： 740 防御成功率： 370 元素攻击力： 23~23 元素防御力： 555 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster99.png,,,,,,,f20980fb40c5f9f43a1cbd03f89574eceedd853e649c9d33aa8a3b6b8166ada2,,
8,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00008_LEVEL_132.png,00008_LEVEL_132.png,LEVEL 132,LEVEL 132 | LEVEL 132 血量： 140000 攻击力： 1075~1140 防御力： 885 防御成功率： 440 元素攻击力： 27~27 元素防御力： 663 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster93.png,,,,,,,534bbf5d0ab03f69a63ae7ff42fee52db77ea6bda39f9cfca84feb744768fe82,,
9,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00009_LEVEL_134.png,00009_LEVEL_134.png,LEVEL 134,LEVEL 134 | LEVEL 134 血量： 164000 攻击力： 1200~1300 防御力： 982 防御成功率： 500 元素攻击力： 29~29 元素防御力： 736 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster95.png,,,,,,,4c3e8ee716fca44c7d44eb584a8c02b3ec66358ed47fe4a3ac006c614eb73945,,
10,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00010_LEVEL_135.png,00010_LEVEL_135.png,LEVEL 135,LEVEL 135 | LEVEL 135 血量： 500000 攻击力： 1000~1500 防御力： 800 防御成功率： 370 元素攻击力： 0~0 元素防御力： 600 出现地图： 狼魂要塞 (第一区域),main,img,https://mu.dvg.cn/skin/images/icon_none.png,,,,,,,9b1088c48ec355613d60d81ff1bfe1dade3a2144e615ad5f32ca08a06a4f2f59,,
11,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00011_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
12,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00012_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00012_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
13,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_list.php?mapid=34,,images\main\00013_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,00013_打开微信扫一扫，关注奇迹MU小册子官方小程序。.jpg,打开微信扫一扫，关注奇迹MU小册子官方小程序。,打开微信扫一扫，关注奇迹MU小册子官方小程序。 | 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。,main,img,https://mu.dvg.cn/skin/images/gh_258.jpg,,,,,,,b4f43d82116ec1b947374d6728b66b04346a51c993cbd9b2e084790420eef744,,
15,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_info.php?id=310,https://mu.dvg.cn/item_info.php?id=5329,images\detail\00015_卓越的_暴风之盔.png,00015_卓越的_暴风之盔.png,卓越的 暴风之盔,卓越的 暴风之盔,detail,img,https://mu.dvg.cn/source/n_itemlitpic/cw_helmmale01.png,,,,,,,a2d29f913f832e95d2fde1200a1b2facfab752aa12c7f8f99b43d98be3691ad3,,
16,https://mu.dvg.cn/monster_list.php?mapid=34,https://mu.dvg.cn/monster_info.php?id=310,https://mu.dvg.cn/item_info.php?id=5594,images\detail\00016_卓越的_暴风护腿.png,00016_卓越的_暴风护腿.png,卓越的 暴风护腿,卓越的 暴风护腿,detail,img,https://mu.dvg.cn/source/n_itemlitpic/cw_pantmale01.png,,,,,,,5609c3d8eb3cf323824cf470f4045c9cc565da40665d8e3460d3520f9d6087e9,,
