asset_id,source_url,page_url,detail_url,local_path,file_name,title,description,category,extract_type,image_url,width,height,sprite_x,sprite_y,sprite_w,sprite_h,sha256,detail_text,detail_html_file
1,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/,images\main\00001_奇迹小册子.png,00001_奇迹小册子.png,奇迹小册子,奇迹小册子 | 奇迹小册子 职业专题 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 装备道具 武器 剑 魔剑 斧 槌 弓 弩 箭袋 长矛 法杖 魔杖 法书 权杖 符文魔棒 拳套 短剑 盾牌 魔法枪 魔法书 宝珠 幻影剑 炼金杖 圣水 战锤 防具 头盔 铠甲 护腿 护手 靴子 元素道具 翅膀 耳环 戒指 项链 坐骑 神器道具 套装 魔法师 剑士 弓箭手 魔剑士 圣导师 召唤术师 格斗家 梦幻骑士 符文法师 疾风 火枪手 光明法师 圣光学者 赤色战士 炼金术士 圣骑士 精通武器 血色天使 黑暗天使 圣天使 灵魂 雪狼 银心 噬魂 辉煌 末世 雷霆 圣殿 帝国 其他 技能石/卷轴 荧光宝石 宝石 宠物 肩饰 BUFF药 箱子 精通武器 精通防具 灵魂转换器 其他 工具大全 合成查询工具 新增 五转技能模拟器 新增 BUFF计算器 职业攻速查询 宝石价格走势图 更新 配装模拟 V1.0 地图工具 V2.0 3转大师模拟器 4转技能模拟器 掉落查询工具 升级耗时计算器 V4 挂机等级预测器 V4 3D模型,main,img,https://mu.dvg.cn/ui_baodianv2/images/mu_icon_1.png,,,,,,,bb6f53b6e844cb9bf8d91acb35adc37eb5a31ad9b2a54dca68213520ccf7014c,,
2,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00002_会员中心_退出.gif,00002_会员中心_退出.gif,会员中心 退出,会员中心 退出,main,img,https://mu.dvg.cn/e/data/images/nouserpic.gif,,,,,,,5452bdab42bbabf8d00656cd6713d815c15cc98339c7c584647c1ff9ad4711bb,,
3,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00003_LEVEL_75.png,00003_LEVEL_75.png,LEVEL 75,"LEVEL 75 | LEVEL 75 血量： 11500 攻击力： 255~290 防御力： 195 防御成功率： 125 元素攻击力： 25~25 元素防御力： 146 出现地图： 恶魔广场 (1 ~ 4),魔炼之地,恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster86.png,,,,,,,7016e13c1447f4cb94a0004bf4e7b7aec40888ee0dccec92c5783c764add0cba,,
4,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00004_LEVEL_78.png,00004_LEVEL_78.png,LEVEL 78,"LEVEL 78 | LEVEL 78 血量： 15000 攻击力： 270~320 防御力： 210 防御成功率： 140 元素攻击力： 26~26 元素防御力： 157 出现地图： 魔炼之地,恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster82.png,,,,,,,59aaad3a2ae9496e0158385af13a5ae3651c7e785c44cfecd7778eb7a65c43a5,,
5,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00005_LEVEL_84.png,00005_LEVEL_84.png,LEVEL 84,"LEVEL 84 | LEVEL 84 血量： 25000 攻击力： 375~425 防御力： 275 防御成功率： 190 元素攻击力： 27~27 元素防御力： 206 出现地图： 魔炼之地,恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster85.png,,,,,,,8e7c4ed85249bc338c36d36bd103d17e889dedcd264325ee69179696070532a4,,
6,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00006_LEVEL_92.png,00006_LEVEL_92.png,LEVEL 92,"LEVEL 92 | LEVEL 92 血量： 34500 攻击力： 489~540 防御力： 360 防御成功率： 240 元素攻击力： 28~28 元素防御力： 270 出现地图： 魔炼之地,恶魔广场 (5 ~ 7)",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster84.png,,,,,,,032c4b27e51d9c76fb3c0722047c2281b87041fcfd050294aa15e80f1f3bc6b0,,
7,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00007_LEVEL_102.png,00007_LEVEL_102.png,LEVEL 102,"LEVEL 102 | LEVEL 102 血量： 55000 攻击力： 560~600 防御力： 550 防御成功率： 310 元素攻击力： 29~29 元素防御力： 412 出现地图： 恶魔广场 (1 ~ 4),魔炼之地",main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster83.png,,,,,,,1d01f63b74526937f3197776db3fbb1a8a6a645342a50a3e950e1bbd575e45eb,,
8,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00008_LEVEL_128.png,00008_LEVEL_128.png,LEVEL 128,LEVEL 128 | LEVEL 128 血量： 3000000 攻击力： 1500~2000 防御力： 1000 防御成功率： 800 元素攻击力： 100~254 元素防御力： 750 出现地图： 魔炼之地,main,img,https://mu.dvg.cn/source/n_monsterlitpic/Monster88.png,,,,,,,161764a373ae7edc52f22b6c45578026571676388b3e74fae71949978a3a32f0,,
9,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00009_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,00009_QQ群号：310862148_您可以_点击入群_，或者扫码入群_期待您的加入.jpg,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 | 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入,main,img,https://mu.dvg.cn/ui_baodianv2/image/qqqun.jpg,,,,,,,23b5e94865ccdd72866b1d248fd0ef0917d2af94947c4860906a7378fa7fc0af,,
10,https://mu.dvg.cn/monster_list.php?mapid=31,https://mu.dvg.cn/monster_list.php?mapid=31,,images\main\00010_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,00010_用手机浏览器扫码浏览，喜欢我们请添加收藏！.png,用手机浏览器扫码浏览，喜欢我们请添加收藏！,用手机浏览器扫码浏览，喜欢我们请添加收藏！ | 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！,main,img,https://mu.dvg.cn/ui_baodianv2/image/mobile_qcode2.png,,,,,,,3c9f5c255d7ed730dfc8781084dd96618df507e7a49c454289c8e96586a47768,,
