id,name,level,hp,attack_min,attack_max,defense,defense_success_rate,element_attack_min,element_attack_max,element_defense,appear_maps,current_map_id,current_map_name,detail_url,image_url,local_image
3,蜘蛛,2,30,4,7,1,1,0,0,0,"勇者大陆,仙踪林,幻术园 血量 30 魔力值 攻击力 4 ~ 7 防御力 1 防御率 1 魔法防御 0 元素攻击 0 ~ 0 元素防御 0 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 小瓶治疗药水 小瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册",0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=3,https://mu.dvg.cn/source/n_monster/Monster10.png,output\按地图分类\勇者大陆\images\蜘蛛_3.png
2,幼龙,4,60,10,13,3,3,0,0,2,勇者大陆 血量 60 魔力值 攻击力 10 ~ 13 防御力 3 防御率 3 魔法防御 0 元素攻击 0 ~ 0 元素防御 2 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 小瓶治疗药水 小瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=2,https://mu.dvg.cn/source/n_monster/Monster03.png,output\按地图分类\勇者大陆\images\幼龙_2.png
1,猎犬怪,9,140,22,27,9,9,0,0,6,勇者大陆 血量 140 魔力值 攻击力 22 ~ 27 防御力 9 防御率 9 魔法防御 0 元素攻击 0 ~ 0 元素防御 6 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 卓越的 暗杀者 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 中瓶治疗药水 中瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=1,https://mu.dvg.cn/source/n_monster/n_monster_02.png,output\按地图分类\勇者大陆\images\猎犬怪_1.png
4,蛮牛怪,12,190,31,36,12,12,0,0,9,勇者大陆 血量 190 魔力值 攻击力 31 ~ 36 防御力 12 防御率 12 魔法防御 0 元素攻击 0 ~ 0 元素防御 9 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 卓越的 巴迪之矛 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 解毒剂 中瓶治疗药水 中瓶魔力药水 玛雅之石 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=4,https://mu.dvg.cn/source/n_monster/n_monster_01.png,output\按地图分类\勇者大陆\images\蛮牛怪_4.png
6,黑巫师,14,255,41,46,14,14,0,0,10,勇者大陆 血量 255 魔力值 攻击力 41 ~ 46 防御力 14 防御率 14 魔法防御 0 元素攻击 0 ~ 0 元素防御 10 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 卓越的 毒蛇杖 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 解毒剂 中瓶治疗药水 中瓶魔力药水 玛雅之石 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=6,https://mu.dvg.cn/source/n_monster/n_monster_05.png,output\按地图分类\勇者大陆\images\黑巫师_6.png
7,巨人,17,400,57,62,18,18,0,0,13,勇者大陆 血量 400 魔力值 攻击力 57 ~ 62 防御力 18 防御率 18 魔法防御 0 元素攻击 0 ~ 0 元素防御 13 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 卓越的 双刃斧 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 解毒剂 中瓶治疗药水 中瓶魔力药水 玛雅之石 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=7,https://mu.dvg.cn/source/n_monster/n_monster_06.png,output\按地图分类\勇者大陆\images\巨人_7.png
14,骷髅兵,19,525,68,74,22,22,3,3,16,"勇者大陆,地下城 (1 ~ 3) 血量 525 魔力值 攻击力 68 ~ 74 防御力 22 防御率 22 魔法防御 0 元素攻击 3 ~ 3 元素防御 16 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 卓越的 钢铁之盾 武器 卓越的 拉丁剑 配件 技能 钻云枪之石 霹雳回旋斩之石 玄月斩之石 火龙术 毒咒术 龙卷风术 黑龙波术 极光术 爆炎术 圣极光卷轴 星云召唤卷轴 摄魂咒 羊皮纸 昏睡 羊皮纸 斗神-御  羊皮纸 斗神-命  羊皮纸 链雷咒 羊皮纸 伤害反射 羊皮纸 幻龙破卷轴 黑曜石卷轴 狂怒卷轴 火力爆发之石 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 昆顿印记 小生命圣水 酒 中瓶治疗药水 中瓶魔力药水 玛雅之石 守护天使 小恶魔 兽角 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册",0,勇者大陆,https://mu.dvg.cn/monster_info.php?id=14,https://mu.dvg.cn/source/n_monster/n_monster_07.png,output\按地图分类\勇者大陆\images\骷髅兵_14.png
3,蜘蛛,2,30,4,7,1,1,0,0,0,"勇者大陆,仙踪林,幻术园 血量 30 魔力值 攻击力 4 ~ 7 防御力 1 防御率 1 魔法防御 0 元素攻击 0 ~ 0 元素防御 0 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 配件 技能 火球术 真空波术 掌心雷术 瞬间移动术 陨石术 冰封术 回旋穿刺卷轴 旋龙刺卷轴 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 小瓶治疗药水 小瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册",3,仙踪林,https://mu.dvg.cn/monster_info.php?id=3,https://mu.dvg.cn/source/n_monster/Monster10.png,output\按地图分类\仙踪林\images\蜘蛛_3.png
26,小哥布林,3,45,7,10,2,2,0,0,1,仙踪林 血量 45 魔力值 攻击力 7 ~ 10 防御力 2 防御率 2 魔法防御 0 元素攻击 0 ~ 0 元素防御 1 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 配件 技能 召唤哥布林 魔石 治疗之石 攻击之石 防御之石 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 小瓶治疗药水 小瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,3,仙踪林,https://mu.dvg.cn/monster_info.php?id=26,https://mu.dvg.cn/source/n_monster/n_monster_20.png,output\按地图分类\仙踪林\images\小哥布林_26.png
27,勾尾蝎,5,80,13,17,4,4,0,0,3,仙踪林 血量 80 魔力值 攻击力 13 ~ 17 防御力 4 防御率 4 魔法防御 0 元素攻击 0 ~ 0 元素防御 3 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 武器 配件 技能 召唤哥布林 魔石 治疗之石 攻击之石 防御之石 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 小瓶治疗药水 小瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,3,仙踪林,https://mu.dvg.cn/monster_info.php?id=27,https://mu.dvg.cn/source/n_monster/Monster21.png,output\按地图分类\仙踪林\images\勾尾蝎_27.png
33,大哥布林,8,120,19,23,8,8,0,0,6,仙踪林 血量 120 魔力值 攻击力 19 ~ 23 防御力 8 防御率 8 魔法防御 0 元素攻击 0 ~ 0 元素防御 6 元素攻击率 0 元素防御率 0 说两句 ? 掉落道具 防具 卓越的 战士之盾 武器 卓越的 流星槌 配件 技能 召唤哥布林 魔石 治疗之石 攻击之石 防御之石 其他 回城卷轴 封印的银箱子 封印的金箱子 城主标识 血灵之书 血灵之骷 恶魔之眼 恶魔之钥 苹果 中瓶治疗药水 中瓶魔力药水 Powered by 奇迹MU小册子 DVG小册子V2.0版 - DVG游戏网 本站是自发的个人非官方游戏资料攻略站点 ?2021-2026 本站由雨云提供免费计算赞助-游戏专用服务器推荐 魔兽世界80级数据库 | 希望宝典数据库 | 奇迹MU小册子 | 激战2小册子 | RO小册子 | 冒险岛小册子 | 命运方舟小册子 | 黑沙小册子 资料站QQ群 QQ群号：310862148 您可以 点击入群 ，或者扫码入群 期待您的加入 手机扫码浏览 用手机浏览器扫码浏览，喜欢我们请添加收藏！ 小册子微信小程序 打开微信扫一扫，关注奇迹MU小册子官方小程序。 登录 注册 使用微信快捷登录 使用账号密码登录 用户名 密码 记住我 忘记密码？ 登录 返回微信登录 使用微信快捷登录 使用账号注册 用户名 密码 确认密码 邮箱 点击显示验证码 我已阅读并同意 《用户协议》 和 《隐私政策》 注册 返回微信注册,3,仙踪林,https://mu.dvg.cn/monster_info.php?id=33,https://mu.dvg.cn/source/n_monster/n_monster_18.png,output\按地图分类\仙踪林\images\大哥布林_33.png
